Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
CUI,CUI Global Inc,4.48,$93.65M,na,Consumer Non-Durables,Electronic Components,http//www.nasdaq.com/symbol/cui,
CPIX,Cumberland Pharmaceuticals Inc.,4.61,$74.8M,2009,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/cpix,
CMLS,Cumulus Media Inc.,0.34,$79.71M,1998,Consumer Services,Broadcasting,http//www.nasdaq.com/symbol/cmls,
CRIS,Curis Inc,1.73,$223.99M,na,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/cris,
CUTR,Cutera Inc,11.1,$145.29M,2004,Health Care,Biotechnology Electromedical & Electrotherapeutic Apparatus,http//www.nasdaq.com/symbol/cutr,
CVBF,CVB Financial Corporation,17.05,$1.84B,na,Finance,Major Banks,http//www.nasdaq.com/symbol/cvbf,
CVV,CVD Equipment Corporation,8.33,$52.67M,na,Technology,Industrial Machinery/Components,http//www.nasdaq.com/symbol/cvv,
CYAN,Cyanotech Corporation,3.98,$22.48M,na,Consumer Durables,Specialty Chemicals,http//www.nasdaq.com/symbol/cyan,
CYBR,CyberArk Software Ltd.,54.17,$1.8B,2014,Technology,Computer Software Prepackaged Software,http//www.nasdaq.com/symbol/cybr,
CYBE,CyberOptics Corporation,17.29,$118.62M,1987,Capital Goods,Electronic Components,http//www.nasdaq.com/symbol/cybe,
CYCC,Cyclacel Pharmaceuticals Inc,7.31,$22.8M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/cycc,
CYCCP,Cyclacel Pharmaceuticals Inc,8.3,$2.78M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/cyccp,
CBAY,Cymabay Therapeutics Inc.,2.3,$53.93M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/cbay,
CYNA,Cynapsus Therapeutics Inc.,19.25,$237.02M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/cyna,
