Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
SKY,Skyline Corporation,9.85,$82.65M,na,Basic Industries,Homebuilding,http//www.nasdaq.com/symbol/sky,
XPL,Solitario Exploration & Royalty Corp,0.86,$33.36M,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/xpl,
SGB,Southwest Georgia Financial Corporation,15.099,$38.47M,na,Finance,Major Banks,http//www.nasdaq.com/symbol/sgb,
LOV,Spark Networks Inc,1.46,$37.88M,na,Miscellaneous,Business Services,http//www.nasdaq.com/symbol/lov,
STRP,Straight Path Communications Inc.,20.26,$246.71M,2013,Public Utilities,Telecommunications Equipment,http//www.nasdaq.com/symbol/strp,
SSY,SunLink Health Systems Inc,0.73,$6.89M,na,Health Care,Hospital/Nursing Management,http//www.nasdaq.com/symbol/ssy,
SDPI,Superior Drilling Products Inc,1.27,$22.17M,2014,Energy,Metal Fabrications,http//www.nasdaq.com/symbol/sdpi,
STS,Supreme Industries Inc,16.64,$283.24M,na,Capital Goods,Construction/Ag Equipment/Trucks,http//www.nasdaq.com/symbol/sts,
SYRG,Synergy Resources Corporation,7.2,$1.44B,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/syrg,
SYN,Synthetic Biologics Inc,1.67,$152.42M,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/syn,
TRX,Tanzanian Royalty Exploration Corporation,1.08,$117.06M,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/trx,
TGB,Taseko Mines Limited,0.5158,$114.42M,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/tgb,
TIK,Tel-Instrument Electronics Corp.,4.09,$13.32M,na,Capital Goods,Electrical Products,http//www.nasdaq.com/symbol/tik,
TGC,Tengasco Inc,1.18,$7.19M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/tgc,
GLU,The Gabelli Global Utility and Income Trust,18.43,$75.77M,2004,na,na,http//www.nasdaq.com/symbol/glu,
TXMD,TherapeuticsMD Inc,7.19,$1.41B,na,Health Care,Major Pharmaceuticals,http//www.nasdaq.com/symbol/txmd,
TGD,Timmons Gold Corp,0.5443,$173.76M,2011,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/tgd,
TOF,Tofutti Brands Inc.,2.92,$15.05M,na,Consumer Non-Durables,Specialty Foods,http//www.nasdaq.com/symbol/tof,
TMP,Tompkins Financial Corporation,71.85,$1.08B,na,Finance,Major Banks,http//www.nasdaq.com/symbol/tmp,
TAT,Transatlantic Petroleum Ltd,0.767,$31.74M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/tat,
TRXC,TransEnterix Inc,1.37,$157.55M,na,Health Care,Medical_Dental Instruments,http//www.nasdaq.com/symbol/trxc,
TPLM,Triangle Petroleum Corporation,0.2756,$21.03M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/tplm,
TPHS,Trinity Place Holdings Inc.,8.43,$214.77M,na,Consumer Services,Clothing/Shoe/Accessory Stores,http//www.nasdaq.com/symbol/tphs,
TRT,Trio-Tech International,3.4,$11.94M,na,Technology,Industrial Machinery/Components,http//www.nasdaq.com/symbol/trt,
UFAB,Unique Fabricating Inc,12.66,$122.79M,2015,Capital Goods,Auto PartsO.E.M.,http//www.nasdaq.com/symbol/ufab,
UAMY,United States Antimony Corporation,0.326,$21.8M,na,Capital Goods,Metal Fabrications,http//www.nasdaq.com/symbol/uamy,
UUU,Universal Security Instruments Inc,2.9715,$6.87M,na,Consumer Non-Durables,Electronic Components,http//www.nasdaq.com/symbol/uuu,
UQM,UQM TECHNOLOGIES INC,0.61,$29.56M,na,Capital Goods,Industrial Machinery/Components,http//www.nasdaq.com/symbol/uqm,
URG,Ur Energy Inc,0.5845,$83.94M,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/urg,
UEC,Uranium Energy Corp.,1.12,$130.38M,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/uec,
VSR,Versar Inc,1.32,$13.06M,1986,Consumer Services,Military/Government/Technical,http//www.nasdaq.com/symbol/vsr,
VII,Vicon Industries Inc,0.76,$7.1M,na,Consumer Durables,Telecommunications Equipment,http//www.nasdaq.com/symbol/vii,
VHC,VirnetX Holding Corp,2.74,$155.25M,na,Miscellaneous,Multi-Sector Companies,http//www.nasdaq.com/symbol/vhc,
VGZ,Vista Gold Corporation,1.12,$106.7M,na,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/vgz,
VNRX,VolitionRX Limited,3.4601,$81.39M,2015,Health Care,Biotechnology In Vitro & In Vivo Diagnostic Substances,http//www.nasdaq.com/symbol/vnrx,
VISI,Volt Information Sciences Inc,6.12,$127.49M,na,Technology,Professional Services,http//www.nasdaq.com/symbol/visi,
EAD,Wells Fargo Income Opportunities Fund,8.3,$589.16M,2003,na,na,http//www.nasdaq.com/symbol/ead,
ERC,Wells Fargo Multi-Sector Income Fund,13.12,$551.28M,2003,na,na,http//www.nasdaq.com/symbol/erc,
ERH,Wells Fargo Utilities and High Income Fund,13.0301,$120.3M,2004,na,na,http//www.nasdaq.com/symbol/erh,
SBI,Western Asset Intermediate Muni Fund Inc,10.61,$149.36M,1992,na,na,http//www.nasdaq.com/symbol/sbi,
WRN,Western Copper and Gold Corporation,0.91,$85.95M,2011,Basic Industries,Precious Metals,http//www.nasdaq.com/symbol/wrn,
WYY,WidePoint Corporation,0.5,$41.37M,na,Technology,EDP Services,http//www.nasdaq.com/symbol/wyy,
WTT,Wireless Telecom Group Inc,1.56,$29.21M,na,Capital Goods,Electrical Products,http//www.nasdaq.com/symbol/wtt,
XTNT,Xtant Medical Holdings Inc,1.65,$20.12M,na,Health Care,Biotechnology Biological Products (No Diagnostic Substances),http//www.nasdaq.com/symbol/xtnt,
YUMA,Yuma Energy Inc,0.2274,$16.37M,na,Energy,Oil & Gas Production,http//www.nasdaq.com/symbol/yuma,
ZDGE,Zedge Inc,4.45,$41.44M,2016,Technology,Computer Software Prepackaged Software,http//www.nasdaq.com/symbol/zdge,
